,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.054,0.059,,,,,,,,,,0.057
DCC_joint,0.021,0.019,0.019,0.017,0.017,,,0.017,0.018,0.020,,0.018
DCC_bivariate_loop,0.021,0.019,0.019,0.017,0.016,,,0.016,0.018,0.019,,0.018
SW_cross_validated,0.034,0.033,0.032,0.030,0.029,,,0.025,0.031,0.031,,0.031
SW_15,0.013,0.016,0.016,0.017,0.015,,,0.015,0.015,0.013,,0.015
SW_30,0.017,0.019,0.019,0.019,0.017,,,0.017,0.021,0.017,,0.018
SW_60,0.018,0.019,0.024,0.022,0.015,,,0.017,0.024,0.019,,0.020
SW_120,0.031,0.032,0.033,0.019,0.023,,,0.024,0.031,0.029,,0.028
sFC,0.036,0.032,0.020,0.018,0.018,,,0.016,0.018,0.024,,0.023
