,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,5.2586e-01,6.1496e-03,4.4052e-01,1.8670e-01,4.2746e-01,6.1251e-01,7.1338e-01,1.8822e-02
SVWP,5.2586e-01,,4.5038e-02,9.7699e-01,4.1064e-02,9.4406e-01,7.2783e-01,2.4212e-01,1.2150e-01
DCC_joint,6.1496e-03,4.5038e-02,,8.6759e-03,2.4874e-09,5.3751e-05,1.9732e-05,7.5119e-07,1.4513e-01
SW_cross_validated,4.4052e-01,9.7699e-01,8.6759e-03,,5.6975e-03,8.8555e-01,5.9914e-01,1.0548e-01,3.6638e-02
SW_15,1.8670e-01,4.1064e-02,2.4874e-09,5.6975e-03,,4.7162e-05,3.2732e-04,4.1459e-02,1.7529e-09
SW_30,4.2746e-01,9.4406e-01,5.3751e-05,8.8555e-01,4.7162e-05,,5.2215e-01,2.0625e-02,2.6938e-04
SW_60,6.1251e-01,7.2783e-01,1.9732e-05,5.9914e-01,3.2732e-04,5.2215e-01,,7.9594e-02,8.2118e-05
SW_120,7.1338e-01,2.4212e-01,7.5119e-07,1.0548e-01,4.1459e-02,2.0625e-02,7.9594e-02,,1.8101e-06
sFC,1.8822e-02,1.2150e-01,1.4513e-01,3.6638e-02,1.7529e-09,2.6938e-04,8.2118e-05,1.8101e-06,
