,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,-,nan,nan,nan,nan,nan,nan,nan,nan,nan
SVWP_joint,nan,-,0.0000,0.0000,0.0042,0.0000,0.0001,0.0096,0.0000,0.0000
DCC_joint,nan,-10.6542,-,1.,0.001,1.,0.0019,0.0007,1.,0.0000
DCC_bivariate_loop,nan,-9.7987,0.9157,-,0.0067,1.,0.0154,0.0042,1.,0.0000
SW_cross_validated,nan,-4.892,5.5662,4.6824,-,0.0006,1.,1.,0.0037,0.0000
SW_15,nan,-13.6699,1.0232,-0.0554,-5.8243,-,0.0009,0.0004,1.,0.0000
SW_30,nan,-6.988,5.2618,4.3045,-0.8847,5.6348,-,1.,0.0071,0.0000
SW_60,nan,-4.5192,5.7679,4.8929,0.26,6.066,1.1656,-,0.0021,0.0000
SW_120,nan,-12.753,1.8557,0.7884,-4.9578,1.1037,-4.6516,-5.2098,-,0.0000
sFC,nan,-132.8026,-46.0403,-49.1629,-66.1122,-75.3398,-82.0978,-65.6122,-80.0421,-
