,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,-0.000,0.981,0.972,0.958,0.563,0.956,-0.014,0.631
SVWP,,0.000,0.983,0.972,0.960,0.380,0.955,-0.020,0.604
DCC_joint,,-0.000,0.957,0.929,0.903,0.699,0.946,0.325,0.680
SW_cross_validated,,0.000,0.978,0.966,0.955,0.760,0.969,0.196,0.689
SW_15,,-0.000,0.897,0.897,0.897,0.729,0.904,0.423,0.678
SW_30,,-0.000,0.943,0.942,0.937,0.767,0.938,0.424,0.707
SW_60,,-0.000,0.972,0.966,0.944,0.741,0.950,0.254,0.689
SW_120,,-0.000,0.985,0.943,0.624,0.237,0.942,-0.078,0.522
sFC,,,,,,,,,
