,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,0.000,0.014,0.014,0.019,0.284,0.012,0.086,0.061
SVWP,,0.000,0.013,0.014,0.018,0.265,0.011,0.077,0.057
DCC_joint,,0.000,0.015,0.020,0.021,0.059,0.012,0.158,0.041
SW_cross_validated,,0.000,0.011,0.014,0.018,0.086,0.008,0.207,0.049
SW_15,,0.000,0.024,0.021,0.023,0.061,0.020,0.114,0.038
SW_30,,0.000,0.020,0.017,0.019,0.063,0.015,0.132,0.038
SW_60,,0.000,0.014,0.014,0.024,0.073,0.013,0.149,0.041
SW_120,,0.000,0.010,0.021,0.081,0.073,0.011,0.132,0.047
sFC,,,,,,,,,
