,null,constant,periodic_1,periodic_2,periodic_3,boxcar,stepwise,state_transition
0,147,145,129,39,57,45,55,143
1,97,179,105,59,43,35,43,93
2,41,123,47,69,47,59,53,165
3,95,159,57,53,49,39,89,173
4,105,141,51,71,41,53,31,35
5,177,155,67,37,39,47,43,161
6,149,179,55,31,39,51,57,65
7,159,137,77,61,31,59,95,123
8,141,149,47,75,41,67,51,91
9,169,55,107,35,39,45,85,83
10,153,155,97,43,45,85,57,101
11,139,149,83,23,29,33,73,65
12,41,161,89,45,63,55,61,31
13,85,117,43,57,47,27,63,153
14,75,141,83,43,27,43,63,163
15,163,35,65,53,49,61,95,179
16,155,141,87,37,43,65,107,85
17,179,83,63,75,49,55,85,179
18,97,157,63,53,35,61,109,51
19,87,173,117,53,35,43,47,101
20,171,179,65,45,49,33,47,39
21,155,63,115,47,39,127,155,95
22,163,89,103,59,37,145,37,165
23,173,155,83,33,33,43,31,179
24,165,49,35,77,43,61,47,175
25,83,101,39,49,39,59,35,129
26,135,179,41,53,43,49,91,175
27,127,83,85,63,31,49,51,171
28,179,161,151,47,51,45,103,129
29,169,87,57,33,33,51,65,179
30,159,35,49,49,43,45,55,167
31,169,121,91,39,29,45,55,139
32,85,41,69,35,25,75,55,131
33,155,139,79,29,35,75,57,57
34,127,113,65,37,39,77,49,99
35,59,111,25,71,41,63,63,171
36,157,149,57,55,37,75,83,175
37,127,157,55,51,35,31,49,177
38,179,117,109,71,47,31,39,119
39,115,71,77,53,37,177,121,45
40,123,147,97,57,31,45,33,51
41,179,55,45,53,35,63,37,173
42,139,75,87,43,21,35,37,41
43,165,101,103,29,21,83,47,147
44,167,179,127,35,43,47,45,59
45,179,107,95,51,31,59,47,115
46,107,115,83,55,41,59,85,175
47,65,177,49,51,35,45,57,125
48,167,179,75,85,39,91,77,89
49,179,153,75,55,39,91,139,89
50,179,175,81,71,53,77,81,179
51,99,73,43,41,45,77,47,61
52,167,155,51,57,43,85,41,171
53,93,119,87,21,29,73,77,175
54,77,179,69,61,21,41,67,177
55,159,99,121,33,39,85,29,103
56,179,53,123,47,41,33,119,51
57,155,145,123,45,55,33,45,143
58,165,39,65,39,45,43,53,59
59,177,123,95,33,31,81,49,177
60,123,143,105,33,39,53,55,179
61,119,179,85,65,47,51,55,179
62,133,131,101,63,31,87,61,175
63,147,149,75,47,33,63,83,47
64,151,77,81,47,25,31,53,69
65,161,79,73,65,35,55,25,61
66,131,119,51,43,39,37,49,179
67,179,165,49,63,51,67,45,139
68,53,59,73,43,35,31,91,113
69,53,53,49,43,37,41,53,37
70,133,43,67,51,29,65,97,177
71,149,107,103,57,47,63,47,119
72,75,85,107,47,71,45,35,29
73,163,83,61,51,65,57,31,37
74,63,137,55,53,43,79,75,179
75,153,143,105,51,43,165,37,145
76,171,139,57,57,57,53,61,45
77,89,91,85,29,45,63,31,123
78,177,173,77,75,35,39,91,163
79,97,101,107,57,25,81,45,169
80,71,179,45,49,41,95,59,179
81,173,67,67,51,49,59,71,107
82,169,49,67,81,33,53,135,37
83,109,141,45,39,41,51,37,129
84,171,91,87,69,35,59,29,99
85,81,141,83,67,35,41,49,43
86,179,133,61,61,49,57,25,67
87,133,103,37,55,41,79,51,129
88,179,141,133,37,47,49,45,41
89,83,179,85,57,37,105,67,175
90,179,115,63,59,37,43,37,93
91,119,43,53,67,33,53,45,179
92,173,127,53,37,47,65,29,39
93,77,89,37,45,65,37,33,159
94,147,133,67,45,39,59,47,131
95,135,95,83,65,41,71,39,179
96,179,117,77,43,45,39,101,125
97,145,69,65,57,29,51,49,25
98,77,161,29,31,31,75,35,85
99,113,145,67,43,57,63,57,53
100,107,89,57,85,31,37,27,105
101,173,145,59,37,33,83,95,85
102,97,147,79,31,35,47,31,175
103,177,75,97,69,37,63,57,99
104,117,69,41,35,49,95,23,113
105,91,89,55,69,61,81,41,165
106,93,49,41,37,39,45,59,53
107,83,177,111,65,39,25,47,55
108,173,179,83,45,33,87,51,45
109,91,89,71,51,47,51,67,65
110,103,101,49,29,45,51,51,123
111,161,71,87,63,43,57,55,45
112,123,161,109,25,43,77,167,51
113,157,177,67,45,25,55,63,177
114,179,51,79,75,31,85,77,101
115,93,127,35,39,47,45,63,169
116,115,59,61,51,29,59,37,109
117,177,47,109,41,55,91,95,43
118,111,57,143,47,25,79,75,141
119,145,153,41,63,53,65,43,111
120,151,169,35,93,37,45,49,167
121,73,155,45,45,37,41,99,179
