,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.048,0.092,0.157,0.168,0.292,0.338,0.374,,0.176,0.143,0.142,0.193
DCC_joint,0.029,0.060,0.143,0.169,0.194,0.222,0.236,,0.158,0.105,0.109,0.143
DCC_bivariate_loop,0.039,0.064,0.141,0.159,0.180,0.210,0.221,,0.164,0.109,0.105,0.139
SW_cross_validated,0.123,0.135,0.156,0.193,0.229,0.280,0.320,,0.191,0.177,0.158,0.196
SW_15,0.138,0.163,0.172,0.172,0.171,0.186,0.177,,0.183,0.164,0.167,0.169
SW_30,0.117,0.151,0.142,0.144,0.139,0.159,0.166,,0.162,0.154,0.137,0.147
SW_60,0.125,0.139,0.125,0.148,0.154,0.232,0.282,,0.173,0.158,0.131,0.167
SW_120,0.118,0.128,0.128,0.216,0.327,0.409,0.431,,0.166,0.169,0.126,0.222
sFC,0.051,0.050,0.366,0.356,0.365,0.369,0.367,,0.410,0.121,0.177,0.263
