,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.059,0.033,0.044,0.032,0.066,0.074,0.019,,0.037,0.029,0.046,0.044
DCC_joint,0.026,0.030,0.030,0.023,0.015,0.018,0.020,0.025,0.026,0.024,0.037,0.025
DCC_bivariate_loop,0.024,0.029,0.029,0.026,0.027,0.025,0.020,0.019,0.033,0.019,0.037,0.026
SW_cross_validated,0.036,0.035,0.046,0.030,0.040,0.084,0.063,0.024,0.041,0.026,0.048,0.043
SW_15,0.010,0.024,0.017,0.025,0.027,0.022,0.024,0.019,0.033,0.030,0.022,0.023
SW_30,0.022,0.033,0.025,0.030,0.031,0.027,0.031,0.028,0.028,0.012,0.037,0.028
SW_60,0.033,0.036,0.028,0.039,0.035,0.026,0.025,0.024,0.032,0.026,0.052,0.032
SW_120,0.046,0.050,0.044,0.039,0.016,0.018,0.015,0.020,0.026,0.022,0.043,0.031
sFC,0.035,0.034,0.015,0.003,0.010,0.017,0.013,0.016,0.004,0.023,0.027,0.018
