,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.052,0.069,0.092,0.110,0.151,0.162,0.181,,0.108,0.088,0.096,0.111
DCC_joint,0.039,0.097,0.135,0.136,0.150,0.156,0.160,,0.146,0.083,0.094,0.120
DCC_bivariate_loop,0.047,0.097,0.110,0.106,0.122,0.128,0.134,,0.125,0.086,0.089,0.105
SW_cross_validated,0.119,0.105,0.129,0.146,0.166,0.179,0.190,,0.137,0.140,0.138,0.145
SW_15,0.222,0.227,0.235,0.233,0.233,0.235,0.234,,0.235,0.228,0.225,0.231
SW_30,0.158,0.169,0.168,0.170,0.167,0.167,0.161,,0.172,0.168,0.166,0.167
SW_60,0.132,0.127,0.138,0.136,0.144,0.156,0.172,,0.143,0.140,0.141,0.143
SW_120,0.120,0.107,0.124,0.140,0.186,0.218,0.229,,0.126,0.127,0.118,0.150
sFC,0.048,0.042,0.183,0.173,0.181,0.179,0.180,,0.199,0.074,0.101,0.136
