,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.060,0.037,0.056,0.034,0.064,0.069,0.025,,0.037,0.028,0.050,0.046
DCC_joint,0.019,0.022,0.024,0.016,0.020,0.020,0.029,0.016,0.019,0.009,0.024,0.020
DCC_bivariate_loop,0.017,0.023,0.019,0.018,0.018,0.015,0.019,0.011,0.019,0.009,0.022,0.017
SW_cross_validated,0.033,0.035,0.051,0.029,0.045,0.084,0.061,0.023,0.045,0.031,0.042,0.043
SW_15,0.011,0.019,0.021,0.014,0.017,0.023,0.024,0.023,0.022,0.017,0.015,0.019
SW_30,0.013,0.038,0.020,0.021,0.016,0.022,0.031,0.026,0.021,0.019,0.009,0.021
SW_60,0.023,0.042,0.041,0.045,0.032,0.018,0.019,0.019,0.029,0.025,0.027,0.029
SW_120,0.042,0.048,0.044,0.037,0.018,0.017,0.013,0.023,0.033,0.021,0.024,0.029
sFC,0.035,0.034,0.015,0.003,0.010,0.017,0.014,0.016,0.004,0.023,0.027,0.018
