,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.047,0.090,0.154,0.161,0.281,0.326,0.370,,0.180,0.145,0.133,0.189
DCC_joint,0.039,0.194,0.196,0.181,0.207,0.227,0.235,0.194,0.214,0.155,0.164,0.182
DCC_bivariate_loop,0.053,0.196,0.216,0.206,0.236,0.255,0.263,0.196,0.239,0.163,0.171,0.200
SW_cross_validated,0.133,0.111,0.173,0.196,0.232,0.282,0.316,0.218,0.186,0.183,0.161,0.199
SW_15,0.268,0.292,0.303,0.291,0.300,0.293,0.282,0.276,0.314,0.282,0.285,0.290
SW_30,0.183,0.224,0.224,0.213,0.204,0.204,0.185,0.209,0.230,0.214,0.208,0.209
SW_60,0.159,0.153,0.163,0.171,0.159,0.229,0.280,0.179,0.200,0.180,0.159,0.185
SW_120,0.138,0.125,0.150,0.221,0.325,0.417,0.444,0.245,0.177,0.177,0.133,0.232
sFC,0.051,0.050,0.366,0.356,0.365,0.369,0.367,0.209,0.410,0.121,0.177,0.258
