,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.019,0.012,0.018,0.011,0.020,0.022,0.008,,0.012,0.009,0.016,0.015
DCC_joint,0.006,0.007,0.007,0.005,0.006,0.006,0.009,,0.006,0.003,0.008,0.006
DCC_bivariate_loop,0.005,0.007,0.006,0.006,0.006,0.005,0.006,,0.006,0.003,0.007,0.006
SW_cross_validated,0.010,0.011,0.016,0.009,0.014,0.026,0.019,,0.014,0.010,0.013,0.014
SW_15,0.004,0.006,0.007,0.004,0.005,0.007,0.008,,0.007,0.005,0.005,0.006
SW_30,0.004,0.012,0.006,0.007,0.005,0.007,0.010,,0.007,0.006,0.003,0.007
SW_60,0.007,0.013,0.013,0.014,0.010,0.006,0.006,,0.009,0.008,0.009,0.010
SW_120,0.013,0.015,0.014,0.012,0.006,0.005,0.004,,0.010,0.007,0.008,0.009
sFC,0.011,0.011,0.005,0.001,0.003,0.005,0.004,,0.001,0.007,0.008,0.006
