,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.123,0.125,0.158,0.188,0.204,0.214,0.213,,0.149,0.131,0.160,0.167
DCC_joint,0.152,0.146,0.177,0.185,0.196,0.200,0.205,0.174,0.174,0.156,0.163,0.175
DCC_bivariate_loop,0.153,0.146,0.164,0.168,0.177,0.181,0.185,0.170,0.161,0.157,0.161,0.166
SW_cross_validated,0.180,0.172,0.190,0.209,0.225,0.238,0.251,0.210,0.191,0.199,0.198,0.206
SW_15,0.316,0.314,0.318,0.315,0.322,0.321,0.321,0.314,0.313,0.319,0.321,0.318
SW_30,0.255,0.249,0.255,0.252,0.257,0.258,0.259,0.258,0.252,0.258,0.259,0.256
SW_60,0.201,0.198,0.210,0.205,0.210,0.223,0.238,0.209,0.205,0.208,0.208,0.210
SW_120,0.173,0.166,0.181,0.192,0.227,0.253,0.265,0.205,0.174,0.179,0.175,0.199
sFC,0.049,0.043,0.183,0.173,0.181,0.180,0.180,0.120,0.199,0.074,0.101,0.135
