,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,81,59,61,71,53,177,69,131,171,77,97
1,147,127,79,45,97,89,175,135,57,101,169
2,161,155,135,137,87,55,73,161,101,105,59
3,63,113,121,75,101,59,67,137,139,163,135
4,97,173,171,111,83,51,49,177,41,83,145
5,147,169,161,109,37,61,63,73,159,157,55
6,179,151,141,51,57,49,61,69,77,67,39
7,77,95,95,103,69,41,43,71,47,177,167
8,91,109,81,65,59,175,45,55,109,61,89
9,99,167,173,43,77,63,73,119,133,49,87
