,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.039,0.025,0.026,0.031,0.031,0.036,0.012,,0.020,0.023,0.020,0.026
DCC_joint,0.016,0.013,0.017,0.013,0.012,0.013,0.014,0.012,0.013,0.014,0.015,0.014
DCC_bivariate_loop,0.016,0.014,0.017,0.017,0.011,0.014,0.010,0.011,0.020,0.017,0.018,0.015
SW_cross_validated,0.020,0.028,0.027,0.026,0.015,0.021,0.019,0.015,0.031,0.031,0.028,0.024
SW_15,0.009,0.018,0.009,0.012,0.009,0.013,0.017,0.012,0.015,0.014,0.011,0.013
SW_30,0.012,0.015,0.014,0.013,0.014,0.014,0.013,0.015,0.011,0.012,0.015,0.013
SW_60,0.018,0.022,0.018,0.016,0.015,0.012,0.018,0.012,0.016,0.014,0.014,0.016
SW_120,0.021,0.016,0.024,0.020,0.012,0.013,0.013,0.017,0.013,0.020,0.015,0.017
sFC,0.023,0.012,0.014,0.004,0.003,0.008,0.009,0.017,0.005,0.013,0.016,0.011
