,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.037,0.032,0.050,0.042,0.018,0.023,0.026,,0.038,0.028,0.047,0.034
DCC_joint,0.012,0.016,0.016,0.017,0.010,0.010,0.013,0.011,0.006,0.013,0.013,0.013
DCC_bivariate_loop,0.012,0.017,0.016,0.020,0.012,0.011,0.014,0.011,0.010,0.014,0.014,0.014
SW_cross_validated,0.018,0.025,0.044,0.039,0.022,0.016,0.018,0.031,0.033,0.029,0.030,0.028
SW_15,0.006,0.014,0.011,0.014,0.014,0.010,0.010,0.009,0.009,0.011,0.009,0.011
SW_30,0.008,0.017,0.016,0.016,0.015,0.011,0.016,0.010,0.006,0.011,0.011,0.012
SW_60,0.010,0.018,0.026,0.020,0.016,0.009,0.014,0.014,0.005,0.016,0.010,0.014
SW_120,0.014,0.017,0.036,0.017,0.013,0.011,0.018,0.029,0.015,0.014,0.021,0.019
sFC,0.023,0.012,0.014,0.004,0.003,0.008,0.009,0.017,0.005,0.013,0.016,0.011
