,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,4.1183e-01,2.6788e-01,7.2371e-01,2.9973e-04,3.8486e-01,4.4777e-01,7.0802e-02,1.3222e-08
SVWP,4.1183e-01,,9.2010e-01,2.8012e-01,5.3949e-02,7.3943e-01,1.5312e-01,3.1551e-02,2.6513e-05
DCC_joint,2.6788e-01,9.2010e-01,,1.4184e-01,1.4774e-04,6.4534e-01,2.2816e-02,8.3423e-04,1.2358e-10
SW_cross_validated,7.2371e-01,2.8012e-01,1.4184e-01,,1.5128e-04,2.0507e-01,7.4090e-01,1.6529e-01,1.1169e-08
SW_15,2.9973e-04,5.3949e-02,1.4774e-04,1.5128e-04,,3.1862e-06,5.0229e-07,1.8654e-08,2.2993e-11
SW_30,3.8486e-01,7.3943e-01,6.4534e-01,2.0507e-01,3.1862e-06,,3.0761e-02,7.6331e-04,9.0856e-13
SW_60,4.4777e-01,1.5312e-01,2.2816e-02,7.4090e-01,5.0229e-07,3.0761e-02,,1.6423e-01,7.6479e-12
SW_120,7.0802e-02,3.1551e-02,8.3423e-04,1.6529e-01,1.8654e-08,7.6331e-04,1.6423e-01,,9.0937e-13
sFC,1.3222e-08,2.6513e-05,1.2358e-10,1.1169e-08,2.2993e-11,9.0856e-13,7.6479e-12,9.0937e-13,
