,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,10.10,11.02,17.38,45.44,20.12,7.63,30.68,119.27
DCC_joint,,10.10,,1.33,10.91,43.09,13.31,-2.87,25.94,158.77
DCC_bivariate_loop,,11.02,1.33,,9.86,41.53,11.99,-4.11,24.40,150.42
SW_cross_validated,,17.38,10.91,9.86,,24.33,0.05,-12.76,9.37,76.83
SW_15,,45.44,43.09,41.53,24.33,,-27.83,-44.55,-17.95,50.56
SW_30,,20.12,13.31,11.99,0.05,-27.83,,-15.46,10.92,100.82
SW_60,,7.63,-2.87,-4.11,-12.76,-44.55,-15.46,,27.84,153.91
SW_120,,30.68,25.94,24.40,9.37,-17.95,10.92,27.84,,87.03
sFC,,119.27,158.77,150.42,76.83,50.56,100.82,153.91,87.03,
