,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.98,1.06,1.01,2.41,0.95,6.53,10.30,8.35
DCC_joint,,0.98,,0.11,0.29,1.97,0.11,8.35,14.66,12.37
DCC_bivariate_loop,,1.06,0.11,,0.21,1.90,0.02,8.21,14.48,12.18
SW_cross_validated,,1.01,0.29,0.21,,1.35,0.18,4.87,8.37,6.44
SW_15,,2.41,1.97,1.90,1.35,,1.68,3.14,6.62,4.61
SW_30,,0.95,0.11,0.02,0.18,1.68,,6.22,10.65,8.45
SW_60,,6.53,8.35,8.21,4.87,3.14,6.22,,7.03,3.03
SW_120,,10.30,14.66,14.48,8.37,6.62,10.65,7.03,,6.85
sFC,,8.35,12.37,12.18,6.44,4.61,8.45,3.03,6.85,
