,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.29,1.22,1.03,0.54,1.06,1.18,0.89,0.63
DCC_joint,,1.29,,0.49,1.34,4.04,1.32,0.65,2.21,21.29
DCC_bivariate_loop,,1.22,0.49,,0.99,3.66,0.93,0.25,1.83,19.53
SW_cross_validated,,1.03,1.34,0.99,,2.14,0.14,0.70,0.62,10.02
SW_15,,0.54,4.04,3.66,2.14,,2.44,3.08,1.60,7.18
SW_30,,1.06,1.32,0.93,0.14,2.44,,0.61,0.81,11.85
SW_60,,1.18,0.65,0.25,0.70,3.08,0.61,,1.42,13.66
SW_120,,0.89,2.21,1.83,0.62,1.60,0.81,1.42,,9.94
sFC,,0.63,21.29,19.53,10.02,7.18,11.85,13.66,9.94,
