,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.18,0.18,4.12,10.60,6.94,4.66,3.70,0.71
DCC_joint,,0.18,,0.35,4.27,10.67,7.06,4.81,3.84,0.52
DCC_bivariate_loop,,0.18,0.35,,3.80,10.09,6.53,4.31,3.45,0.87
SW_cross_validated,,4.12,4.27,3.80,,7.09,2.99,0.40,0.10,4.92
SW_15,,10.60,10.67,10.09,7.09,,4.32,7.09,5.97,11.47
SW_30,,6.94,7.06,6.53,2.99,4.32,,2.75,2.44,7.80
SW_60,,4.66,4.81,4.31,0.40,7.09,2.75,,0.23,5.51
SW_120,,3.70,3.84,3.45,0.10,5.97,2.44,0.23,,4.40
sFC,,0.71,0.52,0.87,4.92,11.47,7.80,5.51,4.40,
