,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,0.02,0.64,1.09,6.00,3.13,1.26,0.79,10.72
SVWP,0.02,,0.64,1.15,6.24,3.27,1.34,0.84,11.36
DCC_joint,0.64,0.64,,2.04,8.66,4.88,2.51,1.80,18.66
SW_cross_validated,1.09,1.15,2.04,,5.12,2.07,0.05,0.41,10.23
SW_15,6.00,6.24,8.66,5.12,,3.43,5.97,6.15,4.73
SW_30,3.13,3.27,4.88,2.07,3.43,,2.37,2.75,9.40
SW_60,1.26,1.34,2.51,0.05,5.97,2.37,,0.53,13.63
SW_120,0.79,0.84,1.80,0.41,6.15,2.75,0.53,,12.89
sFC,10.72,11.36,18.66,10.23,4.73,9.40,13.63,12.89,
