,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,0.11,1.27,1.19,5.23,2.54,0.87,1.00,13.96
SVWP,0.11,,1.24,1.37,5.67,2.85,1.07,1.20,15.91
DCC_joint,1.27,1.24,,2.66,7.70,4.77,2.72,2.74,25.79
SW_cross_validated,1.19,1.37,2.66,,3.92,1.15,0.51,0.33,11.76
SW_15,5.23,5.67,7.70,3.92,,3.26,5.15,4.75,6.88
SW_30,2.54,2.85,4.77,1.15,3.26,,2.02,1.71,13.65
SW_60,0.87,1.07,2.72,0.51,5.15,2.02,,0.20,17.78
SW_120,1.00,1.20,2.74,0.33,4.75,1.71,0.20,,15.55
sFC,13.96,15.91,25.79,11.76,6.88,13.65,17.78,15.55,
