,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.032,0.034,0.032,0.037,0.038,0.059,0.073,0.046,,,,0.044
DCC_joint,0.049,0.050,0.078,0.080,0.080,0.079,0.080,0.059,0.084,0.052,0.056,0.068
DCC_bivariate_loop,0.061,0.060,0.060,0.064,0.065,0.064,0.067,0.063,0.062,0.062,0.063,0.063
SW_cross_validated,0.079,0.081,0.082,0.095,0.107,0.105,0.098,0.087,0.082,0.081,0.080,0.089
SW_15,0.268,0.267,0.266,0.268,0.267,0.267,0.267,0.268,0.266,0.268,0.269,0.267
SW_30,0.186,0.186,0.185,0.186,0.186,0.185,0.186,0.186,0.184,0.186,0.187,0.186
SW_60,0.133,0.134,0.132,0.135,0.135,0.139,0.141,0.134,0.133,0.135,0.134,0.135
SW_120,0.104,0.107,0.106,0.114,0.121,0.130,0.132,0.110,0.107,0.112,0.107,0.114
sFC,0.049,0.049,0.080,0.081,0.081,0.080,0.080,0.059,0.089,0.051,0.057,0.069
