,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.007,0.067,0.111,0.143,0.138,0.486,0.685,0.369,,,,0.251
DCC_joint,0.029,0.039,0.651,0.672,0.678,0.681,0.687,0.379,0.720,0.198,0.298,0.457
DCC_bivariate_loop,0.042,0.043,0.185,0.251,0.261,0.295,0.329,0.267,0.235,0.187,0.165,0.205
SW_cross_validated,0.058,0.169,0.197,0.529,0.708,0.749,0.644,0.411,0.339,0.226,0.171,0.382
SW_15,0.233,0.321,0.282,0.297,0.283,0.306,0.320,0.296,0.330,0.287,0.285,0.294
SW_30,0.166,0.238,0.200,0.212,0.205,0.249,0.279,0.248,0.255,0.234,0.209,0.227
SW_60,0.119,0.179,0.146,0.183,0.247,0.381,0.501,0.251,0.230,0.231,0.159,0.239
SW_120,0.081,0.152,0.161,0.347,0.585,0.761,0.809,0.379,0.274,0.265,0.149,0.360
sFC,0.031,0.017,0.691,0.691,0.690,0.689,0.691,0.379,0.796,0.196,0.295,0.470
