,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.011,0.010,0.017,0.022,0.019,0.239,0.010,0.013,,,,0.043
DCC_joint,0.016,0.010,0.018,0.014,0.008,0.008,0.007,0.004,0.025,0.006,0.003,0.011
DCC_bivariate_loop,0.018,0.012,0.023,0.028,0.034,0.017,0.030,0.021,0.026,0.008,0.023,0.022
SW_cross_validated,0.023,0.008,0.022,0.040,0.107,0.004,0.014,0.012,0.008,0.013,0.013,0.024
SW_15,0.021,0.014,0.021,0.025,0.016,0.033,0.025,0.033,0.021,0.020,0.025,0.023
SW_30,0.018,0.011,0.021,0.030,0.019,0.015,0.033,0.028,0.013,0.030,0.024,0.022
SW_60,0.025,0.010,0.019,0.023,0.019,0.015,0.022,0.018,0.012,0.039,0.019,0.020
SW_120,0.026,0.012,0.023,0.018,0.009,0.006,0.013,0.012,0.011,0.043,0.018,0.017
sFC,0.018,0.009,0.004,0.003,0.004,0.001,0.008,0.005,0.004,0.005,0.003,0.006
