,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.007,0.024,0.077,0.093,0.108,0.484,0.685,0.365,,,,0.230
DCC_joint,0.029,0.014,0.650,0.672,0.678,0.681,0.687,0.378,0.719,0.197,0.295,0.455
DCC_bivariate_loop,0.043,0.020,0.186,0.248,0.261,0.293,0.324,0.266,0.235,0.185,0.162,0.202
SW_cross_validated,0.066,0.029,0.237,0.520,0.703,0.750,0.637,0.427,0.273,0.203,0.126,0.361
SW_15,0.272,0.114,0.171,0.191,0.185,0.197,0.202,0.247,0.184,0.249,0.213,0.202
SW_30,0.185,0.076,0.128,0.140,0.152,0.186,0.230,0.214,0.161,0.204,0.156,0.167
SW_60,0.131,0.053,0.110,0.164,0.244,0.372,0.497,0.236,0.169,0.214,0.123,0.210
SW_120,0.089,0.040,0.181,0.355,0.580,0.759,0.804,0.381,0.225,0.241,0.119,0.343
sFC,0.031,0.016,0.691,0.691,0.690,0.689,0.691,0.379,0.796,0.197,0.295,0.470
