,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.011,0.036,0.029,0.047,0.022,0.236,0.009,0.010,,,,0.050
DCC_joint,0.016,0.028,0.017,0.014,0.008,0.008,0.006,0.005,0.023,0.007,0.006,0.013
DCC_bivariate_loop,0.018,0.029,0.022,0.028,0.035,0.016,0.031,0.023,0.026,0.008,0.023,0.024
SW_cross_validated,0.020,0.021,0.037,0.042,0.106,0.004,0.010,0.013,0.017,0.017,0.022,0.028
SW_15,0.016,0.043,0.027,0.032,0.030,0.039,0.039,0.030,0.036,0.024,0.036,0.032
SW_30,0.021,0.029,0.019,0.037,0.022,0.028,0.043,0.034,0.019,0.024,0.028,0.028
SW_60,0.024,0.029,0.027,0.027,0.024,0.018,0.021,0.036,0.020,0.038,0.023,0.026
SW_120,0.024,0.033,0.031,0.016,0.011,0.007,0.013,0.014,0.020,0.044,0.025,0.022
sFC,0.019,0.009,0.004,0.003,0.004,0.001,0.008,0.005,0.004,0.005,0.003,0.006
