,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.037,0.039,0.043,0.052,0.053,0.067,0.076,0.051,,,,0.052
DCC_joint,0.050,0.051,0.079,0.080,0.080,0.080,0.081,0.060,0.084,0.053,0.057,0.069
DCC_bivariate_loop,0.062,0.061,0.061,0.065,0.065,0.065,0.068,0.063,0.062,0.063,0.063,0.064
SW_cross_validated,0.087,0.089,0.089,0.102,0.113,0.112,0.106,0.095,0.092,0.090,0.089,0.097
SW_15,0.255,0.253,0.252,0.255,0.253,0.254,0.255,0.255,0.253,0.255,0.256,0.254
SW_30,0.185,0.186,0.184,0.186,0.184,0.184,0.186,0.186,0.183,0.186,0.186,0.185
SW_60,0.134,0.137,0.135,0.137,0.136,0.140,0.142,0.136,0.135,0.137,0.136,0.137
SW_120,0.110,0.112,0.112,0.120,0.125,0.134,0.135,0.113,0.112,0.117,0.111,0.118
sFC,0.049,0.049,0.080,0.081,0.081,0.080,0.081,0.059,0.089,0.052,0.057,0.069
