,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,1.08,5.42,6.80,24.65,6.81,1.25,13.33,238.91
SVWP,1.08,,4.39,5.87,23.97,5.86,0.15,12.39,243.85
DCC_joint,5.42,4.39,,1.87,20.52,1.78,-4.32,8.03,246.23
SW_cross_validated,6.80,5.87,1.87,,17.62,-0.12,-5.82,5.38,207.03
SW_15,24.65,23.97,20.52,17.62,,-17.99,-24.17,-14.27,157.91
SW_30,6.81,5.86,1.78,-0.12,-17.99,,-5.81,5.63,214.52
SW_60,1.25,0.15,-4.32,-5.82,-24.17,-5.81,,12.49,252.90
SW_120,13.33,12.39,8.03,5.38,-14.27,5.63,12.49,,250.05
sFC,238.91,243.85,246.23,207.03,157.91,214.52,252.90,250.05,
