,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,-,1.,0.0000,0.0000,0.0000,0.0000,1.,0.0000,0.
SVWP,-1.0425,-,0.0005,0.0000,0.0000,0.0000,1.,0.0000,0.
DCC_joint,-5.4002,-4.4055,-,1.,0.0000,1.,0.0007,0.0000,0.
SW_cross_validated,-6.7838,-5.8831,-1.8719,-,0.0000,1.,0.0000,0.0000,0.
SW_15,-24.6207,-23.9783,-20.5215,-17.6169,-,0.0000,0.0000,0.0000,0.
SW_30,-6.7916,-5.8749,-1.7831,0.1176,17.9926,-,0.0000,0.0000,0.
SW_60,-1.2328,-0.1734,4.317,5.8201,24.1697,5.8125,-,0.0000,0.
SW_120,-13.3024,-12.408,-8.0284,-5.3836,14.2697,-5.6307,-12.4895,-,0.
sFC,-238.4298,-243.7255,-246.2323,-207.0336,-157.9088,-214.5161,-252.9008,-250.0519,-
