,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,5.4536e-01,2.2766e-16,3.6083e-89,1.7333e-207,1.5097e-144,1.5834e-91,6.7720e-65,3.0024e-36
SVWP,5.4536e-01,,1.2877e-17,2.3456e-83,6.8895e-202,1.0602e-138,9.3335e-86,1.3865e-60,5.4036e-37
DCC_joint,2.2766e-16,1.2877e-17,,5.4894e-141,2.7021e-247,3.6654e-190,1.5582e-142,2.2102e-106,3.5766e-10
SW_cross_validated,3.6083e-89,2.3456e-83,5.4894e-141,,1.0132e-136,3.2917e-45,4.0723e-01,3.0400e-02,4.8655e-163
SW_15,1.7333e-207,6.8895e-202,2.7021e-247,1.0132e-136,,1.0434e-70,9.0156e-133,2.8823e-126,2.3349e-261
SW_30,1.5097e-144,1.0602e-138,3.6654e-190,3.2917e-45,1.0434e-70,,2.9690e-41,4.4683e-45,9.0452e-208
SW_60,1.5834e-91,9.3335e-86,1.5582e-142,4.0723e-01,9.0156e-133,2.9690e-41,,4.3164e-03,3.7181e-164
SW_120,6.7720e-65,1.3865e-60,2.2102e-106,3.0400e-02,2.8823e-126,4.4683e-45,4.3164e-03,,9.2749e-126
sFC,3.0024e-36,5.4036e-37,3.5766e-10,4.8655e-163,2.3349e-261,9.0452e-208,3.7181e-164,9.2749e-126,
