,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP,0.077,0.127,0.200,0.240,0.283,0.313,0.383,0.247,0.226,0.172,0.172,0.222
SVWP,0.089,0.134,0.188,0.236,0.279,0.342,0.381,0.248,0.253,0.170,0.167,0.226
DCC_joint,0.091,0.189,0.204,0.264,0.274,0.271,0.287,0.191,0.251,0.164,0.177,0.215
SW_cross_validated,0.194,0.151,0.200,0.244,0.283,0.332,0.343,0.262,0.215,0.192,0.208,0.239
SW_15,0.268,0.289,0.300,0.303,0.288,0.279,0.255,0.254,0.314,0.275,0.284,0.283
SW_30,0.203,0.227,0.224,0.222,0.211,0.227,0.295,0.213,0.244,0.229,0.212,0.228
SW_60,0.170,0.171,0.158,0.240,0.349,0.433,0.472,0.232,0.207,0.194,0.170,0.254
SW_120,0.149,0.120,0.211,0.406,0.426,0.341,0.379,0.259,0.181,0.190,0.133,0.254
sFC,0.056,0.063,0.362,0.368,0.377,0.364,0.371,0.230,0.415,0.155,0.181,0.267
