,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP,0.092,0.056,0.050,0.049,0.075,0.054,0.034,0.033,0.057,0.058,0.034,0.054
SVWP,0.090,0.062,0.049,0.058,0.082,0.025,0.031,0.030,0.086,0.056,0.037,0.055
DCC_joint,0.041,0.067,0.024,0.034,0.033,0.027,0.028,0.026,0.036,0.033,0.042,0.035
SW_cross_validated,0.064,0.038,0.033,0.057,0.078,0.072,0.047,0.053,0.060,0.060,0.037,0.054
SW_15,0.030,0.035,0.027,0.028,0.033,0.024,0.028,0.037,0.017,0.048,0.028,0.030
SW_30,0.036,0.031,0.027,0.031,0.049,0.044,0.030,0.045,0.027,0.033,0.036,0.035
SW_60,0.039,0.026,0.039,0.057,0.043,0.011,0.024,0.032,0.039,0.038,0.033,0.035
SW_120,0.055,0.036,0.029,0.038,0.038,0.029,0.027,0.038,0.038,0.057,0.019,0.037
sFC,0.061,0.040,0.009,0.020,0.029,0.011,0.016,0.045,0.012,0.066,0.023,0.030
