,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
0,35,47,49,35,23,49,45
1,39,47,43,47,31,41,33
2,49,27,27,29,45,45,49
3,49,31,43,31,21,31,27
4,45,43,31,37,37,43,49
5,43,29,33,45,27,45,33
6,49,25,29,29,31,41,23
7,43,49,29,31,21,45,49
8,45,49,21,47,49,49,49
9,47,29,49,49,23,21,45
10,21,35,45,33,45,47,45
11,49,45,35,47,29,43,27
12,37,43,39,31,21,49,47
13,39,37,29,49,23,49,47
14,49,47,49,25,33,41,47
15,41,49,49,37,23,49,45
16,43,33,27,35,21,27,33
17,47,25,41,35,33,47,47
18,23,29,47,35,47,49,41
19,35,39,41,23,47,43,37
20,37,27,39,21,37,49,49
21,45,39,45,21,33,29,43
22,43,49,49,33,25,47,47
23,23,49,37,23,47,45,41
24,35,41,23,35,23,31,49
25,49,21,37,35,49,47,35
26,29,35,43,31,31,47,29
27,29,49,29,47,27,27,49
28,45,45,31,29,27,47,41
29,43,47,45,25,27,29,33
30,49,37,33,23,25,21,39
31,45,41,21,41,25,39,35
32,39,47,29,35,29,27,49
33,37,45,45,23,29,47,43
34,35,43,21,33,27,49,43
35,39,41,31,39,49,33,37
36,31,29,33,49,21,47,49
37,27,31,43,35,25,21,27
38,49,37,49,39,25,47,41
39,49,37,47,39,21,45,41
40,45,47,29,39,21,49,49
41,45,47,27,49,35,49,41
42,49,43,45,45,25,49,47
43,41,49,31,29,29,37,43
44,45,49,31,45,21,41,47
45,29,25,27,29,37,23,49
46,27,39,29,27,45,39,35
47,43,31,45,33,41,37,29
48,45,49,45,23,47,49,33
49,47,49,23,39,39,49,49
50,45,47,49,37,25,41,23
51,47,41,35,41,33,21,47
52,49,23,27,31,37,49,35
53,49,21,23,31,33,27,35
54,29,39,47,47,27,45,49
55,35,49,47,21,41,21,41
56,39,33,33,37,47,49,31
57,25,45,25,37,43,47,39
58,25,39,41,47,37,21,49
59,39,45,49,41,33,49,37
60,37,49,27,47,43,49,45
61,49,49,43,31,35,39,25
62,49,49,49,25,23,45,27
63,33,23,49,41,45,41,33
64,37,29,35,25,49,39,29
65,49,27,31,31,49,47,45
66,31,47,49,41,23,43,43
67,49,33,49,29,45,49,49
68,47,25,43,23,47,25,47
69,49,43,49,31,47,49,41
70,33,47,45,49,41,41,41
71,47,25,39,31,33,37,47
72,23,49,45,23,27,47,37
73,29,37,35,25,23,49,49
74,25,49,41,27,25,47,41
75,47,31,31,23,29,29,35
76,47,21,47,49,39,45,33
77,49,33,47,27,27,49,43
78,49,39,45,35,47,49,39
79,25,47,37,37,25,47,49
80,43,49,29,33,33,21,47
81,21,43,33,33,49,49,45
82,39,29,27,39,21,49,49
83,49,39,49,33,25,25,43
84,43,39,47,31,35,47,33
85,39,47,47,35,33,49,25
86,31,21,49,39,47,23,49
87,35,29,39,27,45,31,37
88,45,49,49,49,47,31,39
89,49,49,49,27,49,41,21
90,49,39,35,25,21,21,49
91,37,47,25,23,35,27,49
92,37,27,43,21,31,49,49
93,45,41,23,21,25,49,25
94,49,43,35,41,27,49,43
95,49,41,35,45,45,47,21
96,29,35,49,49,23,49,49
97,49,25,41,49,47,39,45
98,39,37,39,41,21,27,45
99,41,49,37,49,45,49,45
100,31,39,23,27,27,45,27
101,39,43,27,33,39,41,49
102,35,49,45,23,23,49,33
103,29,49,27,49,29,39,49
104,49,49,27,43,31,35,33
105,45,43,37,47,41,43,49
106,41,49,25,23,39,31,25
107,49,49,49,33,49,23,49
108,49,49,21,31,29,37,43
109,29,33,37,41,41,45,49
110,31,37,49,39,29,31,43
111,21,33,47,43,37,33,47
112,37,37,37,25,21,37,23
113,37,49,41,23,25,41,21
114,49,35,29,33,49,49,49
115,47,21,49,39,21,49,45
116,45,23,49,21,49,39,41
117,49,49,31,47,21,43,49
118,35,45,23,37,49,47,33
119,39,41,35,25,39,49,45
120,31,49,43,41,21,25,49
121,49,45,49,27,49,27,23
122,41,49,43,47,49,41,49
123,37,21,29,49,21,49,29
124,29,37,29,29,23,49,49
125,31,47,37,29,33,25,47
126,27,35,43,29,49,37,33
127,49,45,29,41,49,31,39
128,21,49,37,27,27,47,27
129,39,31,49,33,43,27,45
130,43,49,23,49,23,49,49
131,27,43,45,25,31,27,45
132,49,39,43,35,49,45,45
133,35,41,27,29,47,49,43
134,49,37,35,37,25,45,47
135,41,41,45,27,47,33,27
136,49,45,41,31,49,49,33
137,49,45,31,29,23,31,29
138,31,27,35,37,23,43,37
139,39,43,41,47,23,49,27
140,49,47,39,31,47,31,33
141,21,49,21,21,43,45,49
142,29,47,41,25,25,41,21
143,47,49,33,21,25,45,47
144,45,37,43,23,29,35,49
145,49,47,33,45,29,33,43
146,41,49,47,25,27,49,49
147,49,39,49,37,23,49,49
148,27,47,29,21,29,35,47
149,33,21,49,45,25,25,39
150,49,43,31,25,25,25,43
151,35,41,47,31,49,41,37
152,45,49,47,41,23,35,49
153,31,41,41,49,49,49,49
154,37,25,39,29,21,29,41
155,43,43,43,45,47,49,49
156,47,45,25,47,43,45,39
157,49,49,23,29,39,49,45
158,23,23,45,37,49,33,47
159,49,43,47,39,31,47,25
160,49,27,49,27,27,27,43
161,49,49,47,25,39,21,37
162,39,49,25,37,25,43,27
163,47,49,35,47,47,43,49
164,29,49,23,29,23,45,41
165,31,47,49,41,49,31,39
166,47,47,39,33,23,37,47
167,39,41,43,23,43,25,49
168,31,37,45,49,27,23,49
169,27,29,41,31,41,49,47
170,25,33,21,49,25,41,33
171,39,49,37,31,33,49,49
172,21,49,47,39,45,37,49
173,43,39,21,27,25,43,49
174,49,47,43,27,49,27,45
175,41,49,47,41,29,31,41
176,45,49,49,37,21,25,37
177,47,39,37,31,47,49,37
178,49,39,39,25,45,49,29
179,23,45,49,31,29,47,49
180,39,49,49,37,29,49,47
181,33,21,47,27,45,41,47
182,35,49,49,27,31,21,29
183,39,45,49,41,37,47,49
184,43,29,43,27,47,29,47
185,39,25,29,29,29,35,47
186,35,25,43,49,45,21,31
187,39,31,49,47,41,27,33
188,41,27,31,23,49,37,49
189,41,49,49,33,41,41,37
190,41,43,39,45,27,33,29
191,31,33,35,33,43,45,37
192,49,39,49,39,31,43,47
193,43,49,39,23,49,43,23
194,49,47,27,29,45,45,45
195,31,33,25,21,21,23,37
196,47,49,35,47,43,47,49
197,49,45,39,21,35,29,49
198,45,33,23,33,25,25,45
199,29,35,37,23,25,31,47
