,V1-stim_correlation
sub-A00060582.csv,0.44
sub-A00060628.csv,0.23
sub-A00060629.csv,0.70
sub-A00060630.csv,0.64
sub-A00060632.csv,0.17
sub-A00060662.csv,0.53
sub-A00060773.csv,0.52
sub-A00060848.csv,0.56
sub-A00060925.csv,0.36
sub-A00061284.csv,0.69
sub-A00061387.csv,-0.06
sub-A00061598.csv,0.43
sub-A00061727.csv,0.44
sub-A00061881.csv,0.78
sub-A00061882.csv,0.79
sub-A00062248.csv,0.76
sub-A00062288.csv,0.74
sub-A00062351.csv,0.80
sub-A00062411.csv,0.46
sub-A00062917.csv,0.57
sub-A00062934.csv,0.69
sub-A00063103.csv,0.57
sub-A00063326.csv,-0.13
sub-A00063368.csv,0.63
sub-A00063450.csv,0.45
sub-A00063589.csv,0.16
sub-A00064580.csv,0.69
sub-A00065197.csv,0.81
sub-A00065574.csv,0.36
sub-A00065617.csv,0.61
sub-A00065790.csv,0.79
sub-A00066087.csv,0.55
sub-A00066091.csv,0.53
sub-A00066153.csv,0.67
sub-A00066232.csv,0.80
sub-A00066236.csv,0.10
sub-A00066246.csv,0.23
sub-A00066319.csv,0.04
sub-A00066735.csv,0.54
sub-A00066781.csv,0.80
sub-A00066812.csv,-0.19
sub-A00066822.csv,0.74
sub-A00066827.csv,0.81
sub-A00066926.csv,0.74
sub-A00072203.csv,0.55
sub-A00073600.csv,0.61
sub-A00073975.csv,0.65
sub-A00074000.csv,0.79
sub-A00074425.csv,0.81
sub-A00074609.csv,0.37
sub-A00074780.csv,0.74
sub-A00075156.csv,0.65
sub-A00075412.csv,0.43
sub-A00075721.csv,0.28
sub-A00075896.csv,0.55
sub-A00075964.csv,0.28
sub-A00077109.csv,0.11
sub-A00077182.csv,0.45
sub-A00077204.csv,0.14
sub-A00077637.csv,0.88
sub-A00077733.csv,0.80
sub-A00077734.csv,0.41
sub-A00077758.csv,-0.04
sub-A00078238.csv,0.46
sub-A00079353.csv,0.73
sub-A00079747.csv,0.65
sub-A00079907.csv,0.51
sub-A00080447.csv,0.23
sub-A00080452.csv,-0.02
sub-A00080453.csv,0.58
sub-A00081112.csv,0.71
sub-A00081938.csv,0.05
sub-A00082554.csv,0.64
