,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,0.25,2.88,1.86,2.90,2.53,12.84,17.99,16.73
SVWP,0.25,,2.67,1.65,2.70,2.32,12.70,17.93,16.66
DCC_joint,2.88,2.67,,0.83,0.16,0.25,8.28,12.95,11.60
SW_cross_validated,1.86,1.65,0.83,,0.96,0.57,8.67,12.94,11.68
SW_15,2.90,2.70,0.16,0.96,,0.40,7.42,11.68,10.40
SW_30,2.53,2.32,0.25,0.57,0.40,,8.18,12.59,11.30
SW_60,12.84,12.70,8.28,8.67,7.42,8.18,,9.66,7.03
SW_120,17.99,17.93,12.95,12.94,11.68,12.59,9.66,,4.73
sFC,16.73,16.66,11.60,11.68,10.40,11.30,7.03,4.73,
