,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,0.05,0.48,2.25,5.47,3.28,1.92,2.43,1.74
SVWP,0.05,,0.49,2.10,5.01,3.00,1.76,2.15,1.58
DCC_joint,0.48,0.49,,2.59,5.76,3.64,2.29,2.86,0.99
SW_cross_validated,2.25,2.10,2.59,,2.10,0.45,0.46,0.57,3.90
SW_15,5.47,5.01,5.76,2.10,,1.99,2.85,3.73,9.34
SW_30,3.28,3.00,3.64,0.45,1.99,,1.02,1.34,6.03
SW_60,1.92,1.76,2.29,0.46,2.85,1.02,,0.04,3.79
SW_120,2.43,2.15,2.86,0.57,3.73,1.34,0.04,,6.11
sFC,1.74,1.58,0.99,3.90,9.34,6.03,3.79,6.11,
