,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.96,2.03,4.26,21.06,12.67,6.71,4.11,-10.10
DCC_joint,,1.96,,0.07,2.92,23.95,13.02,5.74,2.53,-15.86
DCC_bivariate_loop,,2.03,0.07,,2.88,24.13,13.07,5.72,2.49,-16.13
SW_cross_validated,,4.26,2.92,2.88,,16.16,7.93,2.19,-1.04,-15.85
SW_15,,21.06,23.95,24.13,16.16,,-9.68,-15.20,-24.10,-49.48
SW_30,,12.67,13.02,13.07,7.93,-9.68,,-6.12,-11.75,-31.89
SW_60,,6.71,5.74,5.72,2.19,-15.20,-6.12,,-3.90,-20.76
SW_120,,4.11,2.53,2.49,-1.04,-24.10,-11.75,-3.90,,-21.34
sFC,,-10.10,-15.86,-16.13,-15.85,-49.48,-31.89,-20.76,-21.34,
