,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.012,0.020,0.061,0.083,0.105,0.119,0.348,,0.122,0.160,0.104,0.113
DCC_joint,0.035,0.014,0.146,0.187,0.221,0.225,0.254,,0.179,0.151,0.124,0.154
DCC_bivariate_loop,0.042,0.016,0.148,0.189,0.222,0.226,0.255,,0.183,0.149,0.127,0.156
SW_cross_validated,0.065,0.029,0.087,0.116,0.139,0.146,0.165,,0.123,0.163,0.100,0.113
SW_15,0.232,0.090,0.165,0.177,0.176,0.172,0.188,,0.171,0.197,0.173,0.174
SW_30,0.159,0.060,0.113,0.126,0.138,0.142,0.176,,0.128,0.157,0.128,0.133
SW_60,0.112,0.044,0.089,0.116,0.169,0.232,0.314,,0.121,0.161,0.105,0.146
SW_120,0.084,0.035,0.122,0.216,0.365,0.470,0.501,,0.148,0.177,0.105,0.222
sFC,0.033,0.012,0.423,0.423,0.424,0.423,0.424,,0.487,0.158,0.240,0.305
