,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.048,0.038,0.114,0.149,0.179,0.201,0.368,,0.240,0.170,0.132,0.164
DCC_joint,0.039,0.024,0.146,0.188,0.222,0.227,0.256,0.214,0.181,0.154,0.126,0.162
DCC_bivariate_loop,0.045,0.026,0.148,0.190,0.223,0.228,0.257,0.215,0.185,0.152,0.130,0.164
SW_cross_validated,0.130,0.172,0.160,0.191,0.229,0.238,0.272,0.231,0.218,0.221,0.176,0.203
SW_15,0.294,0.313,0.298,0.299,0.309,0.312,0.322,0.320,0.321,0.309,0.307,0.309
SW_30,0.210,0.218,0.207,0.209,0.225,0.234,0.250,0.246,0.240,0.241,0.222,0.227
SW_60,0.156,0.165,0.153,0.163,0.205,0.266,0.335,0.226,0.206,0.218,0.173,0.206
SW_120,0.131,0.151,0.150,0.235,0.378,0.485,0.513,0.316,0.213,0.224,0.160,0.269
sFC,0.033,0.012,0.423,0.423,0.424,0.423,0.424,0.307,0.487,0.158,0.240,0.305
