,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.012,0.006,0.015,0.026,0.019,0.021,0.087,,0.068,0.009,0.013,0.028
DCC_joint,0.013,0.012,0.011,0.011,0.017,0.014,0.008,0.014,0.005,0.007,0.010,0.011
DCC_bivariate_loop,0.014,0.012,0.011,0.012,0.017,0.014,0.008,0.012,0.004,0.008,0.011,0.011
SW_cross_validated,0.008,0.021,0.030,0.021,0.027,0.035,0.027,0.017,0.028,0.013,0.021,0.023
SW_15,0.013,0.022,0.026,0.019,0.020,0.040,0.023,0.020,0.030,0.022,0.021,0.023
SW_30,0.010,0.021,0.026,0.020,0.020,0.038,0.019,0.020,0.031,0.020,0.020,0.022
SW_60,0.008,0.016,0.020,0.014,0.017,0.018,0.009,0.013,0.035,0.015,0.014,0.016
SW_120,0.009,0.015,0.021,0.011,0.010,0.007,0.008,0.005,0.030,0.010,0.017,0.013
sFC,0.011,0.003,0.002,0.002,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.003
