,scan_0,scan_1,scan_2,scan_3
0,169,16,0,0
1,2,0,30,44
2,0,0,0,0
3,24,140,0,2
4,4,0,0,0
5,0,0,0,0
6,72,0,0,0
7,0,0,0,6
8,0,4,0,0
9,0,0,0,0
10,0,0,0,2
11,0,14,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,94
15,0,0,0,0
16,0,0,0,0
17,177,55,50,0
18,0,0,0,2
19,0,0,0,0
20,0,2,0,20
21,77,0,128,0
22,0,0,0,40
23,0,0,0,0
24,14,0,0,0
25,0,4,20,56
26,20,46,0,32
27,0,6,0,0
28,6,2,35,0
29,0,0,0,0
30,0,0,18,54
31,0,0,12,34
32,0,2,0,0
33,0,6,78,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,2,10,0,0
38,0,0,72,28
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,108,0,0,4
43,0,0,0,14
44,0,0,0,0
45,0,0,0,215
46,0,0,22,4
47,6,40,0,0
48,0,0,0,0
49,112,0,0,0
50,4,0,0,0
51,0,10,0,0
52,0,0,0,0
53,0,150,0,0
54,0,4,2,0
55,0,0,0,0
56,0,0,4,0
57,0,0,12,0
58,0,0,0,0
59,0,0,0,0
60,0,0,2,0
61,20,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,4,2,0,0
66,0,0,0,0
67,0,0,0,0
68,0,71,14,0
69,0,0,0,0
70,0,0,32,155
71,4,18,0,0
72,12,0,0,0
73,42,2,126,2
74,0,0,0,66
75,0,0,0,0
76,72,0,0,0
77,42,0,4,0
78,0,0,0,0
79,0,0,0,56
80,0,0,0,0
81,0,2,0,0
82,0,0,42,0
83,4,45,193,0
84,0,0,0,0
85,0,0,0,0
86,0,0,80,0
87,0,0,0,0
88,148,0,0,0
89,0,105,6,100
90,0,24,0,0
91,0,2,0,0
92,207,0,0,0
93,0,32,0,0
94,0,0,88,0
95,0,0,0,6
96,0,8,0,0
97,0,0,0,0
98,0,0,0,6
99,0,0,16,193
100,0,0,0,0
101,0,0,0,0
102,0,126,2,0
103,62,100,0,8
104,0,0,0,0
105,0,0,24,4
106,282,8,11,10
107,0,0,0,0
108,94,0,0,0
109,14,70,0,6
110,0,0,0,2
111,0,0,42,2
112,0,0,0,0
113,4,2,24,0
114,0,0,0,0
115,0,0,0,0
116,72,0,136,8
117,141,0,0,0
118,12,152,0,6
119,0,2,0,0
120,0,0,15,0
121,0,4,0,0
122,0,0,0,0
123,0,4,0,4
124,2,76,0,0
125,6,0,0,0
126,0,0,0,0
127,10,122,0,0
128,0,0,0,44
129,18,0,42,0
130,0,0,0,0
131,3,0,0,0
132,0,0,2,0
133,0,2,1,72
134,0,0,0,0
135,0,0,0,0
136,0,0,0,68
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,6,0,0
142,102,4,46,4
143,0,0,2,0
144,8,0,0,0
145,69,30,0,0
146,30,0,0,0
147,0,0,0,0
148,0,0,0,0
149,90,0,0,0
150,0,2,0,0
151,22,0,2,0
152,0,16,114,112
153,18,0,0,0
154,6,0,0,4
155,68,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,68,24,0,12
161,0,0,6,0
162,0,0,0,0
163,0,0,0,0
164,0,22,2,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,34
171,0,0,0,0
172,0,0,0,0
173,42,8,88,0
174,2,169,34,339
175,0,34,0,0
176,0,27,2,0
177,0,0,0,0
178,114,0,28,18
179,2,0,0,0
180,0,0,0,0
181,0,2,10,34
182,0,0,0,0
183,0,0,4,34
184,0,0,0,0
185,78,6,113,0
186,14,4,0,0
187,4,42,4,0
188,0,0,0,20
189,0,0,0,0
190,0,0,0,0
191,0,0,6,0
192,0,101,0,64
193,0,0,0,0
194,0,0,131,0
195,42,0,0,0
196,0,0,0,0
197,0,2,0,0
198,0,0,0,0
199,2,42,0,0
200,0,0,0,0
201,8,0,0,0
202,0,0,10,0
203,192,106,0,0
204,0,0,68,9
205,0,0,0,0
