,scan_0,scan_1,scan_2,scan_3
328,2,0,0,0
329,17,7,10,9
330,16,14,0,0
331,21,2,7,17
332,12,18,6,1
333,12,13,13,0
334,0,4,6,8
335,12,0,10,14
336,0,0,0,0
337,0,0,0,0
338,2,19,4,7
339,0,0,0,0
340,6,13,14,14
341,0,0,0,0
342,8,9,0,0
343,11,2,5,15
344,13,17,15,21
345,17,20,12,24
346,2,4,16,24
347,21,14,19,35
348,2,13,11,17
349,12,9,9,21
350,10,0,2,10
351,10,10,0,0
352,22,17,20,2
353,0,7,0,0
354,17,9,3,10
355,9,19,13,16
356,4,0,15,12
357,0,0,0,4
358,22,21,0,2
359,26,12,17,9
360,0,0,0,0
361,14,13,16,19
362,4,6,14,0
363,3,4,4,0
364,21,12,6,23
365,11,9,6,27
366,0,0,0,0
367,6,6,6,18
368,7,17,18,12
369,11,29,8,21
370,0,2,4,3
371,9,12,13,15
372,0,2,0,4
373,12,11,30,13
374,7,22,19,14
375,30,2,13,8
376,21,22,16,2
377,11,10,12,3
378,0,0,0,0
379,0,0,2,0
380,22,7,8,7
381,15,1,9,7
382,0,13,0,0
383,6,0,0,0
384,16,1,0,10
385,0,0,13,0
386,14,11,23,7
387,21,15,4,0
388,9,6,8,26
389,12,7,13,8
390,15,0,9,7
391,14,13,25,10
392,1,17,24,15
393,3,13,6,15
394,0,0,0,0
395,7,6,11,6
396,13,1,15,4
397,13,0,7,2
398,18,16,1,0
399,20,11,11,24
400,9,11,4,0
401,19,13,3,24
402,19,7,15,8
403,0,0,0,0
404,17,4,14,7
405,2,13,22,8
406,8,13,13,1
407,13,0,9,4
408,0,0,30,4
409,10,7,10,3
410,0,0,6,0
411,0,0,1,2
412,9,9,10,16
413,13,14,0,0
414,6,14,13,15
415,6,0,0,2
416,9,11,10,16
417,2,0,13,16
418,0,0,0,0
419,6,4,14,11
420,2,5,8,4
421,21,17,4,14
422,17,7,5,8
423,6,0,0,0
424,2,0,13,9
425,15,37,1,0
426,28,13,6,14
427,13,15,16,20
428,8,5,14,14
429,23,11,7,10
430,17,3,16,11
431,24,13,15,9
432,5,0,9,2
433,2,0,0,2
434,17,9,14,22
435,4,6,0,3
436,4,0,0,14
437,6,7,8,19
