,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.011,0.015,0.019,0.227,0.015,0.072,0.060
SVWP,,,0.013,0.016,0.020,0.222,0.016,0.075,0.060
DCC_joint,,,0.021,0.033,0.034,0.138,0.013,0.197,0.073
DCC_bivariate_loop,,,0.020,0.026,0.027,0.090,0.013,0.200,0.062
SW_cross_validated,,,0.017,0.012,0.028,0.313,0.014,0.161,0.091
SW_15,,,0.024,0.025,0.025,0.077,0.022,0.149,0.054
SW_30,,,0.016,0.020,0.027,0.080,0.017,0.150,0.052
SW_60,,,0.009,0.028,0.073,0.074,0.014,0.127,0.054
SW_120,,,0.005,0.133,0.155,0.060,0.010,0.092,0.076
sFC,,,,,,,,,
