,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.020,0.030,0.091,0.127,0.167,,,0.351,0.220,0.209,,0.152
DCC_joint,0.061,0.023,0.235,0.317,0.380,,,0.322,0.280,0.202,,0.227
DCC_bivariate_loop,0.069,0.026,0.233,0.295,0.340,,,0.301,0.286,0.202,,0.219
SW_cross_validated,0.116,0.043,0.139,0.191,0.245,,,0.288,0.203,0.217,,0.180
SW_15,0.275,0.113,0.182,0.196,0.215,,,0.258,0.200,0.251,,0.211
SW_30,0.191,0.073,0.141,0.199,0.290,,,0.254,0.196,0.224,,0.196
SW_60,0.137,0.050,0.184,0.376,0.614,,,0.384,0.238,0.230,,0.277
SW_120,0.111,0.041,0.368,0.737,0.770,,,0.379,0.309,0.226,,0.367
sFC,0.055,0.020,0.712,0.712,0.712,,,0.379,0.816,0.204,,0.451
