,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.023,0.027,0.033,0.033,0.027,,,0.018,0.205,0.014,,0.047
DCC_joint,0.023,0.025,0.021,0.020,0.017,,,0.011,0.022,0.014,,0.019
DCC_bivariate_loop,0.024,0.027,0.022,0.023,0.020,,,0.016,0.021,0.016,,0.021
SW_cross_validated,0.019,0.024,0.034,0.031,0.028,,,0.020,0.031,0.021,,0.026
SW_15,0.019,0.031,0.026,0.028,0.028,,,0.021,0.026,0.022,,0.025
SW_30,0.018,0.028,0.024,0.026,0.023,,,0.018,0.026,0.020,,0.023
SW_60,0.017,0.025,0.020,0.019,0.013,,,0.013,0.022,0.016,,0.018
SW_120,0.025,0.026,0.031,0.014,0.013,,,0.022,0.024,0.024,,0.023
sFC,0.023,0.025,0.005,0.005,0.005,,,0.007,0.004,0.010,,0.011
