,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.022,0.024,0.024,0.025,,,0.023,0.022,0.009,,0.022
DCC_joint,0.023,0.026,0.020,0.018,0.016,,,0.011,0.021,0.012,,0.019
DCC_bivariate_loop,0.025,0.027,0.022,0.022,0.020,,,0.016,0.018,0.015,,0.021
SW_cross_validated,0.023,0.023,0.024,0.020,0.022,,,0.019,0.022,0.020,,0.022
SW_15,0.018,0.022,0.021,0.021,0.024,,,0.018,0.023,0.019,,0.021
SW_30,0.018,0.022,0.022,0.020,0.021,,,0.017,0.022,0.017,,0.020
SW_60,0.019,0.023,0.022,0.017,0.012,,,0.012,0.018,0.015,,0.017
SW_120,0.027,0.030,0.023,0.012,0.010,,,0.017,0.017,0.021,,0.020
sFC,0.022,0.025,0.005,0.005,0.005,,,0.007,0.004,0.010,,0.011
