,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
0,71,49,49,29,31,33,95
1,73,69,39,21,25,29,83
2,79,87,27,21,31,23,77
3,89,81,43,31,23,47,87
4,95,97,43,35,29,21,99
5,85,65,25,21,27,31,63
6,97,39,39,23,21,27,85
7,61,85,33,21,21,23,87
8,97,89,33,25,21,79,95
9,97,97,31,29,25,21,91
10,95,99,33,23,21,25,97
11,59,59,61,33,21,25,97
12,91,99,47,27,25,99,73
13,59,89,29,23,23,21,73
14,91,99,41,23,25,21,91
15,81,77,33,33,21,35,99
16,97,79,35,29,21,47,97
17,95,87,39,31,21,53,79
18,67,91,51,21,21,33,85
19,69,59,31,39,25,23,95
20,61,87,41,29,25,27,99
21,63,85,29,25,27,27,99
22,81,97,29,23,21,23,99
23,75,63,31,25,33,77,89
24,57,43,33,21,31,23,89
25,37,89,31,23,21,23,95
26,85,99,31,23,27,43,99
27,95,85,27,29,27,33,81
28,77,85,41,27,31,23,75
29,63,97,41,35,21,25,95
30,75,55,25,31,21,59,67
31,61,41,31,23,21,25,41
32,97,93,27,29,21,43,97
33,97,91,37,23,23,39,95
34,69,97,27,21,37,23,73
35,85,99,27,23,29,27,71
36,67,91,43,23,27,21,31
37,53,45,51,35,25,47,99
38,39,97,27,33,29,37,79
39,53,69,35,27,23,35,31
40,99,99,49,25,37,23,93
41,83,95,35,21,31,33,93
42,81,85,45,31,25,27,93
43,89,99,41,27,23,55,99
44,93,71,37,23,23,37,63
45,59,95,21,31,39,31,97
46,97,55,27,41,21,21,99
47,93,99,29,21,23,21,77
48,93,91,51,21,29,27,43
49,71,55,31,23,29,31,99
50,77,81,43,41,21,55,77
51,99,63,33,33,21,41,99
52,63,87,29,27,25,25,77
53,55,49,41,35,29,31,29
54,99,95,47,25,21,25,57
55,99,69,31,21,21,25,49
56,75,83,39,21,21,41,89
57,81,99,37,33,21,99,73
58,71,45,23,21,31,97,99
59,89,73,51,31,25,31,53
60,49,79,33,25,25,35,85
61,65,83,35,27,27,31,91
62,99,99,37,21,25,25,71
63,95,99,45,35,21,23,93
64,91,61,33,21,21,35,87
65,99,97,27,23,23,81,99
66,97,91,31,23,29,33,77
67,99,95,21,25,21,83,99
68,93,97,27,27,23,21,89
69,93,73,23,23,27,87,99
70,99,89,29,21,31,33,99
71,95,87,41,27,21,21,99
72,95,95,29,37,35,43,95
73,89,75,37,37,25,21,83
74,59,99,47,25,27,31,81
75,97,99,29,27,29,33,99
76,77,99,41,29,23,39,99
77,99,77,27,31,21,31,91
78,87,99,35,23,27,39,77
79,81,83,35,33,25,41,79
80,93,89,27,21,37,25,87
81,99,99,37,33,23,23,99
82,45,55,23,33,29,31,51
83,85,73,35,31,25,27,65
84,95,57,31,33,27,33,49
85,99,89,39,23,23,67,87
86,93,99,29,29,25,35,91
87,91,73,43,35,21,75,35
88,71,95,39,29,23,29,43
89,61,67,23,25,21,59,43
90,87,99,29,31,23,33,61
91,73,37,49,23,21,21,25
92,87,97,23,21,25,39,89
93,65,47,23,33,21,25,89
94,49,33,45,25,25,21,63
95,49,65,43,31,23,21,81
96,97,65,35,25,23,21,45
97,67,97,41,29,27,31,93
98,95,99,37,21,31,33,73
99,77,87,29,25,21,33,99
100,99,57,27,27,37,21,95
101,87,31,33,33,27,35,59
102,79,85,31,27,25,23,65
103,61,95,39,21,29,53,99
104,99,99,35,31,23,21,99
105,43,89,29,33,31,31,47
106,99,75,37,21,21,55,33
107,95,99,59,31,29,25,57
108,71,71,37,31,21,31,81
109,33,89,23,25,23,21,65
110,99,69,23,33,21,25,31
111,99,83,27,35,21,23,99
112,91,81,23,23,21,25,99
113,55,99,33,33,21,21,85
114,99,95,49,33,23,77,65
115,79,87,25,23,23,37,65
116,99,57,29,31,23,61,25
117,99,73,35,33,31,23,91
118,97,93,31,21,29,61,97
119,79,77,37,23,21,33,59
120,87,75,29,25,29,57,47
121,81,87,31,39,25,35,99
122,71,43,43,25,23,25,95
123,63,99,39,49,25,31,99
124,93,99,29,23,29,33,85
125,91,97,21,27,21,55,75
126,69,99,27,27,23,29,75
127,93,59,37,33,27,21,49
128,79,39,31,37,25,27,49
129,97,99,41,31,23,37,71
130,59,63,49,25,27,73,49
131,95,87,27,35,23,23,99
132,99,97,51,21,25,29,65
133,53,95,45,25,23,67,87
134,99,97,27,29,23,33,57
135,81,97,59,29,27,31,99
136,69,87,43,31,25,35,27
137,91,43,25,21,21,33,97
138,43,79,45,25,23,21,99
139,87,91,35,25,21,31,97
140,95,97,51,25,23,29,75
141,99,99,37,27,29,31,93
142,75,67,65,21,27,41,75
143,59,85,31,25,21,33,93
144,87,49,35,21,21,21,87
145,45,99,37,25,21,23,73
146,31,57,41,21,25,25,79
147,89,99,51,21,23,33,79
148,63,87,25,21,29,87,95
149,49,99,27,35,31,33,51
150,89,57,29,33,29,23,97
151,97,99,29,27,21,33,85
152,99,99,33,39,37,69,31
153,43,99,45,25,21,23,87
154,95,89,37,25,21,55,99
155,53,59,43,27,21,27,81
156,95,99,49,23,23,39,99
157,41,67,29,41,27,33,71
158,97,97,35,23,21,33,95
159,51,83,41,27,23,37,27
160,99,99,23,33,35,21,91
161,59,89,45,23,29,31,99
162,77,97,33,29,27,27,73
163,99,67,21,27,23,35,99
164,75,71,29,31,29,23,97
165,73,91,23,39,23,25,45
166,77,65,33,31,37,21,89
167,91,65,45,43,39,35,45
168,73,97,31,27,23,31,99
169,99,85,41,37,27,23,85
170,95,97,57,27,25,33,83
171,93,77,37,21,27,21,79
172,97,99,33,25,29,25,77
173,53,93,41,31,33,29,35
174,97,79,33,27,23,31,63
175,61,91,35,21,27,33,97
176,67,49,33,37,25,23,93
177,53,97,23,25,31,23,97
178,83,95,25,33,21,33,81
179,61,95,41,47,27,29,69
180,97,99,39,27,25,43,99
181,65,97,31,33,31,35,95
182,89,51,35,23,25,31,87
183,25,95,43,23,25,63,21
184,93,89,49,31,29,91,97
185,93,97,33,27,21,31,87
186,67,67,27,37,23,29,67
187,97,85,53,31,27,21,97
188,97,45,21,29,21,29,45
189,83,69,31,23,27,83,69
190,65,91,33,31,21,43,83
191,59,37,43,27,21,65,89
192,75,97,41,27,21,21,91
193,79,99,25,23,37,21,99
194,95,43,23,29,27,35,91
195,97,73,47,21,21,31,97
196,73,77,45,33,27,35,47
197,51,93,21,23,25,33,93
198,45,91,51,25,23,23,99
199,53,69,27,31,31,91,33
