,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.020,0.061,0.136,0.190,0.216,,,0.356,0.270,0.213,,0.183
DCC_joint,0.060,0.043,0.240,0.321,0.383,,,0.323,0.283,0.203,,0.232
DCC_bivariate_loop,0.068,0.045,0.236,0.297,0.342,,,0.301,0.289,0.204,,0.223
SW_cross_validated,0.103,0.186,0.196,0.246,0.288,,,0.294,0.298,0.240,,0.231
SW_15,0.243,0.326,0.301,0.312,0.320,,,0.296,0.346,0.295,,0.305
SW_30,0.176,0.234,0.211,0.246,0.318,,,0.270,0.288,0.252,,0.249
SW_60,0.125,0.181,0.180,0.373,0.619,,,0.378,0.301,0.255,,0.302
SW_120,0.099,0.180,0.344,0.744,0.771,,,0.369,0.385,0.250,,0.393
sFC,0.055,0.020,0.712,0.712,0.712,,,0.379,0.817,0.204,,0.451
