,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.069,0.061,0.125,0.167,0.189,,,0.192,0.221,0.120,,0.143
DCC_joint,0.065,0.061,0.197,0.232,0.252,,,0.177,0.240,0.115,,0.167
DCC_bivariate_loop,0.074,0.065,0.130,0.155,0.174,,,0.155,0.150,0.116,,0.127
SW_cross_validated,0.157,0.173,0.210,0.237,0.257,,,0.227,0.238,0.189,,0.211
SW_15,0.293,0.308,0.303,0.308,0.311,,,0.303,0.311,0.303,,0.305
SW_30,0.213,0.226,0.219,0.228,0.247,,,0.232,0.234,0.229,,0.229
SW_60,0.164,0.175,0.175,0.233,0.330,,,0.233,0.205,0.195,,0.214
SW_120,0.159,0.172,0.224,0.382,0.393,,,0.229,0.234,0.192,,0.248
sFC,0.053,0.045,0.339,0.339,0.339,,,0.184,0.387,0.108,,0.224
