,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.038,0.035,0.049,0.053,0.045,,,0.045,0.039,0.016,,0.040
DCC_joint,0.042,0.029,0.043,0.047,0.042,,,0.028,0.031,0.014,,0.034
DCC_bivariate_loop,0.046,0.029,0.042,0.040,0.037,,,0.030,0.031,0.018,,0.034
SW_cross_validated,0.041,0.038,0.054,0.046,0.047,,,0.053,0.042,0.022,,0.043
SW_15,0.040,0.055,0.050,0.047,0.046,,,0.040,0.044,0.043,,0.046
SW_30,0.041,0.051,0.044,0.045,0.039,,,0.037,0.041,0.035,,0.042
SW_60,0.040,0.042,0.044,0.032,0.019,,,0.020,0.032,0.025,,0.032
SW_120,0.047,0.036,0.043,0.017,0.016,,,0.023,0.043,0.031,,0.032
sFC,0.042,0.016,0.007,0.008,0.007,,,0.009,0.006,0.011,,0.013
