,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.027,0.058,0.072,0.089,,,0.168,0.108,0.103,,0.082
DCC_joint,0.057,0.047,0.194,0.229,0.250,,,0.173,0.238,0.110,,0.162
DCC_bivariate_loop,0.066,0.052,0.124,0.149,0.170,,,0.152,0.145,0.110,,0.121
SW_cross_validated,0.099,0.083,0.139,0.164,0.183,,,0.178,0.157,0.133,,0.142
SW_15,0.229,0.191,0.205,0.211,0.215,,,0.222,0.209,0.221,,0.213
SW_30,0.160,0.135,0.149,0.163,0.191,,,0.177,0.159,0.168,,0.163
SW_60,0.117,0.099,0.132,0.203,0.305,,,0.205,0.145,0.146,,0.169
SW_120,0.100,0.084,0.196,0.359,0.373,,,0.196,0.166,0.137,,0.201
sFC,0.053,0.044,0.339,0.339,0.339,,,0.184,0.387,0.107,,0.224
