,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.038,0.018,0.032,0.039,0.041,,,0.048,0.041,0.015,,0.034
DCC_joint,0.042,0.017,0.043,0.046,0.043,,,0.028,0.032,0.013,,0.033
DCC_bivariate_loop,0.046,0.018,0.042,0.040,0.036,,,0.029,0.031,0.017,,0.032
SW_cross_validated,0.042,0.018,0.033,0.038,0.048,,,0.059,0.036,0.019,,0.037
SW_15,0.037,0.029,0.038,0.037,0.035,,,0.035,0.034,0.033,,0.035
SW_30,0.040,0.022,0.037,0.035,0.033,,,0.032,0.028,0.026,,0.032
SW_60,0.042,0.020,0.030,0.030,0.019,,,0.019,0.019,0.020,,0.025
SW_120,0.046,0.021,0.035,0.020,0.015,,,0.021,0.022,0.024,,0.026
sFC,0.042,0.016,0.007,0.008,0.006,,,0.009,0.006,0.011,,0.013
