,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,0.851,0.827,1.045,1.306,1.097,0.829,0.873,0.860
1,0.862,0.851,0.934,0.959,1.408,0.931,0.814,0.852
2,0.832,0.844,1.112,0.902,1.118,0.805,0.843,0.851
3,0.827,0.817,1.009,0.986,1.307,1.089,1.058,0.834
4,0.845,0.790,1.074,0.849,1.438,0.867,0.848,0.830
5,0.798,0.823,1.172,1.184,1.188,0.970,0.740,0.920
6,0.902,0.849,1.067,0.858,0.845,0.782,1.132,0.834
7,0.851,0.820,0.973,1.083,0.948,0.828,1.004,0.883
8,0.825,0.841,1.101,1.283,1.120,0.831,0.912,0.842
9,0.852,0.812,0.971,1.230,1.278,0.854,0.869,0.838
10,0.869,0.844,1.152,1.032,1.070,0.777,0.834,0.863
11,0.713,0.811,1.129,0.964,1.064,0.835,1.058,0.846
12,0.763,0.855,1.121,0.936,1.062,0.900,0.995,0.842
13,0.844,0.844,1.337,0.995,1.200,0.867,0.853,0.823
14,0.877,0.834,1.058,1.006,1.266,1.070,1.031,0.851
15,0.844,0.846,1.109,0.925,1.342,0.871,1.000,0.830
16,0.851,0.848,1.137,1.063,0.970,0.897,1.023,0.837
17,0.899,0.813,1.086,1.117,1.585,1.084,1.000,0.879
18,0.841,0.881,1.150,0.968,1.082,0.867,0.963,0.857
19,0.861,0.845,1.224,0.953,1.145,0.960,1.081,0.876
20,0.835,0.829,1.113,1.018,0.926,0.802,0.929,0.843
21,0.773,0.819,1.033,0.957,1.847,0.756,1.195,0.863
22,0.860,0.840,1.037,1.120,1.320,0.945,0.828,0.853
23,0.847,0.812,0.999,1.393,1.148,0.804,0.781,0.878
24,0.886,0.814,1.058,1.152,0.975,0.902,0.900,0.844
25,0.872,0.838,1.215,1.063,1.333,0.827,0.802,0.864
26,0.732,0.824,0.971,1.269,1.324,0.892,0.927,0.849
27,0.851,0.811,1.059,1.058,1.517,0.820,0.861,0.900
28,0.827,0.843,0.999,1.275,1.022,0.845,0.734,0.851
29,0.858,0.827,1.076,1.213,1.259,0.749,0.864,0.858
30,0.847,0.813,1.042,1.429,1.213,0.841,1.004,0.844
31,0.896,0.807,1.061,1.305,1.219,1.366,0.756,0.806
32,0.854,0.832,1.074,1.114,1.196,0.829,0.929,0.865
33,0.872,0.811,1.056,0.920,0.854,0.867,0.827,0.862
34,0.858,0.844,0.946,0.961,1.480,0.838,1.117,0.870
35,0.845,0.813,1.187,0.959,1.798,0.905,0.912,0.871
36,0.825,0.852,1.140,1.111,1.298,0.841,0.861,0.851
37,0.881,0.847,1.065,1.194,1.074,0.862,0.881,0.823
38,0.841,0.815,1.116,0.980,1.235,0.875,0.923,0.834
39,0.882,0.834,1.009,1.155,1.344,0.977,0.819,0.779
40,0.920,0.812,0.862,1.278,1.052,0.923,0.795,0.856
41,0.875,0.828,1.014,1.047,1.302,0.735,1.036,0.783
42,0.912,0.829,1.195,1.092,1.241,0.853,0.909,0.843
43,0.868,0.862,1.101,1.265,1.140,0.787,0.939,0.836
44,0.849,0.812,1.018,1.031,0.996,0.732,0.832,0.818
45,0.822,0.794,1.131,1.159,1.197,0.920,0.802,0.862
46,0.773,0.839,1.160,1.067,1.361,1.071,0.944,0.843
47,0.774,0.829,1.140,0.987,1.115,0.815,1.013,0.873
48,0.920,0.819,1.164,0.764,1.266,1.024,0.900,0.836
49,0.934,0.848,1.124,1.205,1.256,1.115,0.841,0.874
50,0.833,0.823,0.976,0.998,1.277,0.779,0.834,0.850
51,0.843,0.829,0.987,1.127,1.215,0.864,1.200,0.836
52,0.812,0.837,1.096,0.979,1.668,0.903,0.841,0.832
53,0.793,0.888,1.177,0.981,1.158,0.835,0.997,0.786
54,0.829,0.804,1.030,1.013,1.267,0.931,0.813,0.906
55,0.912,0.860,1.254,0.932,1.170,0.930,0.798,0.842
56,0.869,0.847,0.993,1.167,0.896,0.812,0.782,0.860
57,0.853,0.830,0.936,1.351,1.186,0.859,0.834,0.842
58,0.823,0.833,1.108,0.971,0.947,0.837,0.879,0.862
59,0.833,0.819,1.218,0.932,2.034,0.853,0.827,0.809
60,0.890,0.852,1.071,1.305,1.259,0.792,0.912,0.845
61,0.894,0.851,1.083,0.984,1.699,0.763,0.794,0.842
62,0.827,0.813,1.187,1.214,2.044,0.865,0.851,0.869
63,0.845,0.837,1.072,1.162,1.521,0.813,0.903,0.877
64,0.866,0.840,1.008,1.227,1.283,0.800,0.901,0.901
65,0.877,0.816,1.003,0.953,0.976,0.844,0.807,0.861
66,0.843,0.815,1.093,0.991,1.785,1.174,0.880,0.867
67,0.821,0.819,1.106,1.071,1.044,0.971,0.819,0.822
68,0.939,0.833,0.987,1.312,1.820,0.884,0.873,0.836
69,0.806,0.849,1.191,0.872,0.956,1.287,0.800,0.860
70,0.842,0.824,1.025,0.731,1.290,0.857,1.010,0.842
71,0.876,0.819,1.014,1.219,1.457,0.859,0.851,0.846
72,0.860,0.890,1.042,1.162,1.531,0.855,0.855,0.858
73,0.876,0.757,0.995,0.903,1.563,0.786,0.977,0.844
74,0.841,0.813,1.056,1.162,1.141,0.822,1.129,0.834
75,0.871,0.843,0.974,0.957,1.281,0.870,0.874,0.871
76,0.818,0.866,1.017,1.259,1.366,0.897,0.913,0.892
77,0.828,0.852,0.988,1.332,0.987,0.849,0.911,0.869
78,0.856,0.838,1.076,1.167,1.272,0.833,0.836,0.839
79,0.844,0.801,1.066,1.184,1.370,0.916,0.948,0.870
80,0.876,0.838,1.009,1.115,1.173,0.935,0.873,0.845
81,0.867,0.799,0.936,1.001,1.129,0.860,0.896,0.886
82,0.853,0.947,1.243,1.099,1.061,0.810,0.784,0.834
83,0.864,0.819,1.149,1.266,1.221,0.880,0.812,0.990
84,0.841,0.853,1.010,1.217,1.562,0.970,1.031,0.848
85,0.844,0.822,1.100,0.887,1.414,0.853,0.862,0.860
86,0.914,0.834,1.166,1.115,1.028,0.815,1.142,0.863
87,0.857,0.849,1.059,1.320,1.560,1.069,0.911,0.846
88,0.870,0.870,1.029,1.153,1.090,0.891,0.801,0.818
89,0.843,0.846,0.844,1.238,1.546,0.882,1.113,0.788
90,0.890,0.860,1.091,0.929,1.332,0.815,0.819,0.833
91,0.863,0.821,0.978,1.026,1.170,0.848,0.920,0.847
92,0.846,0.855,1.007,0.907,1.245,0.817,0.952,0.840
93,0.856,0.836,1.068,1.044,0.849,0.895,0.856,0.753
