,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.986,0.972,0.962,0.325,0.954,-0.022,0.696
SVWP,,,0.985,0.971,0.960,0.314,0.954,-0.023,0.694
DCC_joint,,,0.945,0.899,0.858,0.584,0.941,0.138,0.727
DCC_bivariate_loop,,,0.945,0.911,0.880,0.625,0.939,0.206,0.751
SW_cross_validated,,,0.973,0.968,0.944,0.505,0.955,0.070,0.736
SW_15,,,0.919,0.914,0.907,0.738,0.915,0.358,0.792
SW_30,,,0.964,0.952,0.928,0.736,0.942,0.218,0.790
SW_60,,,0.983,0.933,0.605,0.233,0.941,-0.066,0.605
SW_120,,,0.953,-0.194,-0.456,0.317,0.920,-0.118,0.237
sFC,,,,,,,,,
