,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.05,2.10,2.91,6.26,2.79,2.18,3.17,1.53
DCC_joint,,2.05,,0.02,4.49,7.47,3.81,3.49,5.01,1.17
DCC_bivariate_loop,,2.10,0.02,,4.55,7.52,3.83,3.52,5.10,1.23
SW_cross_validated,,2.91,4.49,4.55,,3.68,0.75,0.28,0.07,4.31
SW_15,,6.26,7.47,7.52,3.68,,2.33,3.65,3.91,7.40
SW_30,,2.79,3.81,3.83,0.75,2.33,,0.92,0.83,3.56
SW_60,,2.18,3.49,3.52,0.28,3.65,0.92,,0.23,3.21
SW_120,,3.17,5.01,5.10,0.07,3.91,0.83,0.23,,4.95
sFC,,1.53,1.17,1.23,4.31,7.40,3.56,3.21,4.95,
