,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.062,0.075,0.144,0.179,0.199,0.306,0.356,0.255,0.191,0.152,0.130,0.186
DCC_joint,0.063,0.052,0.140,0.182,0.193,0.213,0.225,0.187,0.175,0.134,0.132,0.154
DCC_bivariate_loop,0.071,0.054,0.142,0.184,0.195,0.215,0.227,0.189,0.177,0.136,0.134,0.157
SW_cross_validated,0.138,0.179,0.162,0.203,0.206,0.222,0.240,0.211,0.218,0.202,0.169,0.195
SW_15,0.285,0.312,0.294,0.302,0.305,0.300,0.302,0.287,0.321,0.297,0.297,0.300
SW_30,0.216,0.232,0.221,0.231,0.227,0.229,0.234,0.225,0.247,0.225,0.223,0.228
SW_60,0.164,0.180,0.167,0.193,0.204,0.239,0.291,0.203,0.205,0.198,0.181,0.202
SW_120,0.141,0.154,0.155,0.240,0.331,0.407,0.433,0.272,0.208,0.203,0.164,0.246
sFC,0.041,0.026,0.352,0.354,0.353,0.349,0.351,0.255,0.406,0.134,0.202,0.257
