,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.011,0.018,0.019,0.016,0.093,0.005,,0.013,0.008,0.009,0.022
DCC_joint,0.014,0.014,0.021,0.013,0.013,0.011,0.009,,0.015,0.006,0.012,0.013
DCC_bivariate_loop,0.016,0.014,0.022,0.013,0.013,0.011,0.010,,0.017,0.006,0.014,0.014
SW_cross_validated,0.021,0.021,0.016,0.016,0.020,0.018,0.017,,0.011,0.014,0.017,0.017
SW_15,0.013,0.005,0.018,0.016,0.013,0.009,0.011,0.008,0.016,0.010,0.012,0.012
SW_30,0.013,0.009,0.012,0.019,0.014,0.012,0.009,0.009,0.017,0.014,0.011,0.013
SW_60,0.012,0.010,0.011,0.016,0.015,0.010,0.008,0.011,0.014,0.014,0.014,0.012
SW_120,0.020,0.014,0.009,0.013,0.009,0.006,0.007,0.008,0.008,0.012,0.014,0.011
sFC,0.023,0.010,0.003,0.004,0.003,0.002,0.003,0.003,0.005,0.004,0.004,0.006
