,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.042,0.098,0.128,0.130,0.273,0.350,,0.141,0.139,0.108,0.144
DCC_joint,0.048,0.047,0.138,0.178,0.187,0.210,0.222,,0.171,0.131,0.124,0.146
DCC_bivariate_loop,0.058,0.049,0.140,0.179,0.188,0.211,0.225,,0.173,0.134,0.128,0.149
SW_cross_validated,0.082,0.065,0.109,0.135,0.143,0.158,0.180,,0.137,0.148,0.107,0.126
SW_15,0.233,0.136,0.185,0.180,0.177,0.190,0.186,,0.188,0.201,0.183,0.186
SW_30,0.165,0.101,0.133,0.130,0.125,0.139,0.147,,0.150,0.156,0.136,0.138
SW_60,0.119,0.075,0.100,0.121,0.146,0.196,0.255,,0.131,0.151,0.116,0.141
SW_120,0.095,0.062,0.106,0.203,0.305,0.388,0.417,,0.145,0.157,0.114,0.199
sFC,0.041,0.026,0.352,0.354,0.353,0.349,0.351,,0.406,0.134,0.202,0.257
