,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,95,81,89,47,51,43,29,57,59,45,127
1,169,79,51,55,33,35,45,67,47,177,171
2,179,57,55,43,45,29,29,69,85,65,87
3,167,55,79,51,51,47,37,57,73,103,117
4,125,69,113,47,57,43,33,39,51,157,41
5,163,49,99,33,47,37,35,59,45,173,51
6,123,177,95,65,43,43,47,59,107,123,89
7,163,139,73,71,69,47,41,69,49,161,175
8,141,169,113,59,45,37,31,31,61,169,159
9,119,149,141,89,45,51,33,39,43,161,175
