,kernel_lengthscales
sub-A00074425,0.125
sub-A00074609,0.188
sub-A00074780,0.102
sub-A00075156,0.228
sub-A00075412,0.086
sub-A00075721,0.189
sub-A00075896,0.103
sub-A00075964,0.078
sub-A00077109,0.229
sub-A00077182,0.188
sub-A00077204,0.205
sub-A00077637,0.336
sub-A00077733,0.126
sub-A00077734,0.218
sub-A00077758,0.086
sub-A00078238,0.117
sub-A00079353,0.144
sub-A00079747,0.138
sub-A00079907,0.178
sub-A00080447,0.092
sub-A00080452,0.112
sub-A00080453,0.141
sub-A00081112,0.144
sub-A00081938,0.159
sub-A00082554,0.111
