,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP,0.070,0.060,0.154,0.234,0.250,0.325,0.464,0.274,0.244,0.168,0.144,0.217
SVWP,0.070,0.062,0.167,0.232,0.247,0.315,0.431,0.265,0.245,0.165,0.143,0.213
DCC_joint,0.071,0.045,0.173,0.219,0.249,0.291,0.286,0.209,0.198,0.153,0.151,0.186
SW_cross_validated,0.183,0.203,0.235,0.265,0.283,0.324,0.336,0.271,0.276,0.234,0.235,0.259
SW_15,0.319,0.336,0.332,0.329,0.331,0.352,0.352,0.319,0.348,0.328,0.334,0.334
SW_30,0.225,0.246,0.236,0.258,0.285,0.350,0.415,0.263,0.276,0.253,0.243,0.277
SW_60,0.182,0.198,0.187,0.308,0.443,0.559,0.600,0.298,0.263,0.237,0.195,0.315
SW_120,0.174,0.198,0.265,0.535,0.554,0.486,0.513,0.299,0.309,0.243,0.205,0.344
sFC,0.048,0.013,0.489,0.491,0.490,0.491,0.491,0.261,0.562,0.143,0.211,0.335
