,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP,0.012,0.003,0.006,0.006,0.008,0.043,0.038,0.013,0.005,0.003,0.007,0.013
SVWP,0.012,0.003,0.005,0.012,0.006,0.043,0.046,0.012,0.008,0.003,0.006,0.014
DCC_joint,0.012,0.005,0.008,0.007,0.008,0.010,0.006,0.007,0.003,0.004,0.007,0.007
SW_cross_validated,0.010,0.003,0.005,0.006,0.008,0.009,0.008,0.013,0.004,0.004,0.005,0.007
SW_15,0.006,0.008,0.006,0.008,0.008,0.008,0.009,0.011,0.005,0.007,0.005,0.007
SW_30,0.004,0.007,0.008,0.003,0.006,0.006,0.008,0.007,0.004,0.004,0.005,0.006
SW_60,0.008,0.004,0.008,0.008,0.006,0.003,0.003,0.003,0.003,0.003,0.005,0.005
SW_120,0.012,0.007,0.004,0.004,0.003,0.006,0.004,0.003,0.002,0.004,0.006,0.005
sFC,0.011,0.003,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.003
